Year,Month,Crop,Price
2016,May,Maize,135.2
2016,June,Maize,136.6
2016,July,Maize,142.2
2016,August,Maize,139.3
2016,September,Maize,139.8
2016,October,Maize,138.6
2016,November,Maize,137.7
2016,December,Maize,134.0
2017,January,Maize,134.6
2017,February,Maize,135.6
2017,March,Maize,135.2
2017,April,Maize,135.5
2017,May,Maize,134.2
2017,June,Maize,132.6
2017,July,Maize,129.2
2017,August,Maize,127.7
2017,September,Maize,125.1
2017,October,Maize,123.7
2017,November,Maize,119.1
2017,December,Maize,117.9
2018,January,Maize,116.4
2018,February,Maize,117.3
2018,March,Maize,117.3
2018,April,Maize,118.0
2018,May,Maize,117.6
2018,June,Maize,121.5
2018,July,Maize,121.6
2018,August,Maize,123.2
2018,September,Maize,125.7
2018,October,Maize,129.3
2018,November,Maize,131.9
2018,December,Maize,139.2
2019,January,Maize,147.9
2019,February,Maize,158.9
2019,March,Maize,163.7
2019,April,Maize,171.3
2019,May,Maize,171.3
2019,June,Maize,174.0
2019,July,Maize,181.5
2019,August,Maize,184.8
2019,September,Maize,185.8
2019,October,Maize,183.6
2019,November,Maize,172.4
2019,December,Maize,175.6
2020,January,Maize,178.8
2020,February,Maize,167.0
2020,March,Maize,158.5
2020,April,Maize,155.4
2020,May,Maize,152.0
2020,June,Maize,148.4
2020,July,Maize,147.6
2020,August,Maize,146.9
2020,September,Maize,142.5
2020,October,Maize,137.9
2020,November,Maize,139.8
2020,December,Maize,140.5
2021,January,Maize,137.4
2021,February,Maize,135.4
2021,March,Maize,135.7
2021,April,Maize,139.9
2021,May,Maize,141.5
2021,June,Maize,142.6
2021,July,Maize,147.6
2021,August,Maize,153.6
2021,September,Maize,154.8
2021,October,Maize,151.6
2021,November,Maize,150.4
2021,December,Maize,154.2
2022,January,Maize,157.4
2022,February,Maize,162.4
2022,March,Maize,169.5
2022,April,Maize,181.1
2022,May,Maize,182.3
2022,June,Maize,178.3
2022,July,Maize,186.1
2022,August,Maize,192.4
2022,September,Maize,193.4
2022,October,Maize,186.1
2022,November,Maize,182.4
2022,December,Maize,186.6
2023,January,Maize,190.9
2023,February,Maize,193.1
2023,March,Maize,193.7
2023,April,Maize,189.8
2023,May,Maize,184.5
2023,June,Maize,181.9
2023,July,Maize,186.0
2023,August,Maize,186.8
2023,September,Maize,182.9
2023,October,Maize,183.9
2023,November,Maize,183.5
2023,December,Maize,188.0
2024,January,Maize,195.1
2024,February,Maize,198.3
2024,March,Maize,196.2
2024,April,Maize,198.7
2024,May,Maize,200.9
2024,June,Maize,202.7
2024,July,Maize,207.2
2024,August,Maize,213.6
2024,September,Maize,216.5
2024,October,Maize,215.6
2024,November,Maize,213.3
2024,December,Maize,213.3
2012,April,Rice,103.6
2012,May,Rice,104.9
2012,June,Rice,107.9
2012,July,Rice,108.9
2012,August,Rice,109.9
2012,September,Rice,111.4
2012,October,Rice,113.2
2012,November,Rice,113.8
2012,December,Rice,113.5
2013,January,Rice,116.5
2013,February,Rice,118.7
2013,March,Rice,121.7
2013,April,Rice,125.4
2013,May,Rice,127.5
2013,June,Rice,128.5
2013,July,Rice,129.1
2013,August,Rice,128.9
2013,September,Rice,128.7
2013,October,Rice,127.8
2013,November,Rice,128.5
2013,December,Rice,124.8
2014,January,Rice,125.6
2014,February,Rice,127.9
2014,March,Rice,127.8
2014,April,Rice,130.7
2014,May,Rice,130.8
2014,June,Rice,129.5
2014,July,Rice,131.9
2014,August,Rice,133.8
2014,September,Rice,133.5
2014,October,Rice,133.7
2014,November,Rice,132.2
2014,December,Rice,129.8
2015,January,Rice,129.8
